,close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
0,24.6975,24.7475,24.33,24.3475,AAPL,155675988,HISTORICAL_PRICES,AAPL,,2016-07-14,1620357400000,0.0,0.0,97.39,98.79,98.99,97.32,38918997,22.7451,23.072,23.1187,22.7287,155675988,"Jul 14, 16",0.0,0.0
1,24.695,24.825,24.625,24.73,AAPL,120547960,HISTORICAL_PRICES,AAPL,,2016-07-15,1620357400000,-0.0001012248203259957,-0.0001012248203259957,98.92,98.78,99.3,98.5,30136990,23.1024,23.0697,23.1911,23.0043,120547960,"Jul 15, 16",-0.002500000000001279,-0.0001
2,24.9575,25.0325,24.65,24.675,AAPL,145975468,HISTORICAL_PRICES,AAPL,,2016-07-18,1620357431000,0.010527381313898087,0.010527381313898087,98.7,99.83,100.13,98.6,36493867,23.051,23.3149,23.385,23.0277,145975468,"Jul 18, 16",0.2624999999999993,0.0106
3,24.9675,25.0,24.835,24.89,AAPL,95119696,HISTORICAL_PRICES,AAPL,,2016-07-19,1620357525000,0.010932280595201925,0.010932280595201925,99.56,99.87,100.0,99.34,23779924,23.2519,23.3243,23.3546,23.2005,95119696,"Jul 19, 16",0.010000000000001563,0.0004
4,24.99,25.115,24.9338,25.0,AAPL,105103872,HISTORICAL_PRICES,AAPL,,2016-07-20,1620357408000,0.011843303978135312,0.011843303978135312,100.0,99.96,100.46,99.735,26275968,23.3546,23.3453,23.4621,23.2927,105103872,"Jul 20, 16",0.0224999999999973,0.0009
5,24.8575,25.25,24.7825,24.9575,AAPL,130808112,HISTORICAL_PRICES,AAPL,,2016-07-21,1620357388000,0.006478388500860416,0.006478388500860416,99.83,99.43,101.0,99.13,32702028,23.3149,23.2215,23.5882,23.1514,130808112,"Jul 21, 16",-0.13249999999999673,-0.0053
6,24.665,24.825,24.5775,24.815,AAPL,113254676,HISTORICAL_PRICES,AAPL,,2016-07-22,1620357388000,-0.0013159226642373686,-0.0013159226642373686,99.26,98.66,99.3,98.31,28313669,23.1818,23.0417,23.1911,22.9599,113254676,"Jul 22, 16",-0.19250000000000256,-0.0077
7,24.335,24.71,24.23,24.5625,AAPL,161531684,HISTORICAL_PRICES,AAPL,,2016-07-25,1620357419000,-0.014677598947261896,-0.014677598947261896,98.25,97.34,98.84,96.92,40382921,22.9459,22.7334,23.0837,22.6353,161531684,"Jul 25, 16",-0.3299999999999983,-0.0134
8,24.1675,24.4925,24.105,24.205,AAPL,224959288,HISTORICAL_PRICES,AAPL,,2016-07-26,1620357388000,-0.021459661909100158,-0.021459661909100158,96.82,96.67,97.97,96.42,56239822,22.6119,22.5769,22.8805,22.5185,224959288,"Jul 26, 16",-0.16750000000000043,-0.0069
9,25.7375,26.0875,25.6875,26.0663,AAPL,369379280,HISTORICAL_PRICES,AAPL,,2016-07-27,1620357452000,0.04210952525559263,0.04210952525559263,104.265,102.95,104.35,102.75,92344820,24.3507,24.0436,24.3705,23.9969,369379280,"Jul 27, 16",1.5700000000000003,0.065
